Id,SalePrice
1461,146634.7
1462,202659.62
1463,192943.12
1464,178271.8
1465,144950.3
1466,173780.5
1467,149076.12
1468,155054.96
1469,151733.8
1470,137155.12
1471,167429.0
1472,122231.7
1473,122428.66
1474,135789.7
1475,134170.4
1476,243267.0
1477,212588.38
1478,214100.2
1479,263753.5
1480,341974.48
1481,265400.64
1482,149226.88
1483,205998.2
1484,160637.66
1485,164255.12
1486,168079.96
1487,224736.74
1488,193967.76
1489,163021.14
1490,185397.38
1491,177256.7
1492,133011.44
1493,219594.64
1494,213264.58
1495,227967.6
1496,185275.78
1497,151993.18
1498,137247.78
1499,132669.7
1500,134609.7
1501,141529.78
1502,130039.7
1503,211726.74
1504,169047.7
1505,164573.12
1506,202809.34
1507,230691.8
1508,217079.16
1509,171662.0
1510,148714.0
1511,154166.0
1512,185808.06
1513,171707.2
1514,254704.22
1515,217161.18
1516,199287.54
1517,152536.0
1518,185238.56
1519,169018.0
1520,145116.12
1521,149832.0
1522,164034.0
1523,147644.96
1524,141450.52
1525,143347.7
1526,164712.92
1527,128256.86
1528,145178.64
1529,136690.0
1530,166265.54
1531,140157.28
1532,138454.24
1533,145572.42
1534,135422.58
1535,177149.6
1536,140111.16
1537,127337.22
1538,156413.94
1539,179916.64
1540,180558.98
1541,163625.7
1542,144522.0
1543,171773.34
1544,118852.6
1545,110752.0
1546,109426.0
1547,124696.0
1548,115074.0
1549,112214.0
1550,128876.0
1551,145409.0
1552,166750.64
1553,177446.2
1554,138224.68
1555,245368.56
1556,146681.2
1557,150866.0
1558,108506.0
1559,134895.0
1560,139641.0
1561,195617.58
1562,128777.0
1563,132417.0
1564,156130.32
1565,166428.7
1566,211354.46
1567,121023.08
1568,203472.94
1569,205638.42
1570,146844.7
1571,140417.64
1572,149949.12
1573,208111.12
1574,174233.44
1575,209019.12
1576,200562.78
1577,144902.88
1578,178434.28
1579,145250.0
1580,169521.44
1581,202636.84
1582,126947.0
1583,243613.94
1584,189245.82
1585,142602.24
1586,115175.72
1587,117057.72
1588,151616.0
1589,154485.52
1590,129985.0
1591,119359.58
1592,142342.3
1593,126527.0
1594,167483.76
1595,158907.5
1596,206821.8
1597,245235.26
1598,205527.72
1599,152143.16
1600,162162.88
1601,121923.88
1602,136311.64
1603,122287.24
1604,187969.78
1605,198420.7
1606,151535.12
1607,248570.64
1608,182211.34
1609,163153.76
1610,154384.0
1611,207560.2
1612,179432.58
1613,184331.34
1614,128479.7
1615,122318.66
1616,122991.7
1617,122971.7
1618,129742.0
1619,152060.92
1620,169995.52
1621,156234.7
1622,159887.7
1623,211937.74
1624,212538.52
1625,159344.92
1626,162554.0
1627,178821.8
1628,220828.6
1629,165706.64
1630,210417.56
1631,155114.88
1632,179238.7
1633,149863.44
1634,161373.0
1635,161296.64
1636,142275.88
1637,196900.56
1638,200308.58
1639,189078.14
1640,230652.98
